query,reference,label,prediction
C15_brother_papardi,AudioTrack__8.1,0,0.7807637951095714
C15_brother_papardi,AudioTrack__36.8,0,0.8721204382550389
C15_brother_papardi,AudioTrack__41.8,0,0.937651929127075
C15_brother_papardi,AudioTrack__51.5,0,0.8864550610778111
C15_brother_papardi,AudioTrack__60.4,0,0.8572708739289948
C15_brother_papardi,AudioTrack1__3.1,0,0.8184210388685698
C15_brother_papardi,AudioTrack1__29.6,0,0.8150164045482469
C15_brother_papardi,AudioTrack1__34.3,0,0.8186456013024541
C15_brother_papardi,AudioTrack1__43.2,0,0.7963271928882012
C15_brother_papardi,AudioTrack1__75.5,0,0.8466506134353303
C15_brother_papardi,AudioTrack1__90,0,0.8092947650895298
C15_brother_papardi,AudioTrack1__94,0,0.810742246164948
C15_brother_papardi,AudioTrack1__104.3,0,0.7963302084592758
C15_brother_papardi,AudioTrack1__108.5,0,0.823893026761905
C15_brother_papardi,AudioTrack1__115.7,0,0.7717003995011438
C15_brother_papardi,AudioTrack2__5.8,0,0.7847112242837784
C15_brother_papardi,AudioTrack2__16,0,0.8382926470148615
C15_brother_papardi,AudioTrack2__24.3,0,0.7773057880870318
C15_brother_papardi,AudioTrack2__37.9,0,0.7213953026038924
C15_brother_papardi,AudioTrack2__40.2,0,0.8377661879675691
C15_brother_papardi,AudioTrack2__45.2,0,0.7545763215176663
C15_brother_papardi,AudioTrack2__54.3,0,0.8149358683242629
C15_brother_papardi,AudioTrack2__64.6,0,0.8006563851783143
C15_brother_papardi,AudioTrack2__79.8,0,0.8406258078932947
C15_brother_papardi,AudioTrack2__105.9,0,0.7901167289086369
C15_brother_papardi,AudioTrack2__114.7,0,0.795706253087722
C15_brother_papardi,AudioTrack2__136.3,0,0.7903025090067131
C15_brother_papardi,AudioTrack3__3.6,0,0.7967682380152563
C15_brother_papardi,AudioTrack3__6.8,0,0.8001313810968633
C15_brother_papardi,AudioTrack3__18.6,0,0.7918486283497477
C15_brother_papardi,AudioTrack3__28.8,0,0.7920634399976072
C15_brother_papardi,AudioTrack3__67,0,0.8943668181358317
C15_brother_papardi,AudioTrack4__16.2,0,0.772329749273079
C15_brother_papardi,AudioTrack4__25.3,0,0.8114167097559976
C15_brother_papardi,AudioTrack4__42.5,0,0.793205719566977
C15_brother_papardi,AudioTrack4__49.8,0,0.749915069512546
C15_brother_papardi,AudioTrack4__61.7,0,0.8138458339921383
C15_brother_papardi,AudioTrack5__2.6,0,0.7803916452757516
C15_brother_papardi,AudioTrack5__10.7,0,0.7907913744221857
C15_brother_papardi,AudioTrack5__13.7,0,0.8781213010503208
C15_brother_papardi,AudioTrack5__20.3,0,0.826956303320125
C15_brother_papardi,AudioTrack5__33.7,0,0.849205602706594
C15_brother_papardi,AudioTrack5__50.7,0,0.790142989394721
C15_brother_papardi,AudioTrack5__54.8,0,0.8869060433832145
C15_brother_papardi,AudioTrack5__70.8,0,0.8178900681137096
C15_brother_papardi,AudioTrack5__89.5,0,0.788104121961081
C15_brother_papardi,AudioTrack5__120.7,0,0.7946207275285722
C15_brother_papardi,AudioTrack5__129.6,0,0.8493086865194862
C15_brother_papardi,AudioTrack5__133.6,0,0.8381141314189988
C15_brother_papardi,AudioTrack5__158.3,0,0.8230781908705291
C15_brother_papardi,AudioTrack5__167.3,0,0.8353102837742068
C15_brother_papardi,AudioTrack5__171.5,0,0.8297691229535227
C15_brother_papardi,AudioTrack5__182,0,0.8545468253436518
C15_brother_papardi,AudioTrack5__189.8,0,0.767826944260045
C15_brother_papardi,AudioTrack5__193,0,0.8192315596612505
C15_brother_papardi,AudioTrack5__209.2,0,0.7954300944208741
C15_brother_papardi,AudioTrack5__229.9,0,0.7661840234782429
C15_brother_papardi,AudioTrack5__234.7,0,0.8092012482812432
C15_brother_papardi,AudioTrack5__248.1,0,0.814946211743599
C15_brother_papardi,AudioTrack5__258,0,0.8317884851320816
C15_brother_papardi,AudioTrack5__274.3,0,0.807999409151642
C15_brother_papardi,AudioTrack5__276.4,0,0.7774865022338724
C15_brother_papardi,AudioTrack5__282.9,0,0.7767076758988631
C15_brother_papardi,AudioTrack5__286.3,0,0.7984885688030732
C15_brother_papardi,AudioTrack5__290.9,0,0.8109580876746934
